Customer_ID,upsell_xsell,acct_age,credit_class,sales_channel,rfm_score,Est_HH_Income,region_US,state_US,cs_ttl_pop,cs_ttl_male,cs_ttl_female,cs_ttl_hhlds,cs_ttl_mdage,handset,data_device_age,equip_age,bill_data_usg_m03,data_usage_amt
2877501,0,46,prime,Retail,231,"$19,200 ",Greater Texas,TX,"7,283",49,51,"2,575",38,Apple,982,3,"1,964",57
206753,0,50,near prime,Indirect,313,"$22,800 ",Great Lakes,OH,"54,834",46.76,53.24,"20,719",33,Apple,"1,375",36,"2,284",21
741801,0,46,prime,Retail,313,"$55,700 ",South,SC,"30,392",49,51,"11,401",35,Apple,982,28,-53,2
1855595,1,35,prime,National Sales,323,"$60,900 ",South,MS,"17,941",48.26,51.74,"6,810",35,Apple,"2,343",36,"3,325",3
134781,0,38,prime,National Sales,223,"$43,600 ",Mid Atlantic,VA,"17,162",50.56,49.44,"5,281",34,Apple,513,22,746,17
3146221,0,43,near prime,National Sales,121,"$45,600 ",South,FL,"38,447",50.36,49.64,"14,323",37,Apple,315,0,119,5
330307,1,29,prime,Branded 3rd Party Retail,111,"$31,000 ",South,AL,"14,567",47.86,52.14,"5,838",37,Apple,471,23,575,1
341255,0,57,prime,Branded 3rd Party Retail,123,"$45,400 ",Pacific,HI,"42,916",48.9,51.1,"15,365",39,Apple,688,33,"2,215",4
682483,0,29,near prime,National Sales,133,"$19,200 ",Great Lakes,MN,"4,506",49.56,50.44,"1,622",34,Apple,534,38,441,3
755348,0,42,near prime,Indirect,311,"$20,700 ",Greater Texas,TX,"11,095",46.87,53.13,"4,466",36,LG,"1,252",2,"1,525",16
3029845,0,46,prime,Branded 3rd Party Retail,113,"$45,300 ",Midwest,MO,"1,956",47.34,52.66,849,48,Apple,,4,582,4
3466863,0,34,other,Retail,233,"$18,900 ",Mid Atlantic,NY,"43,665",46.44,53.56,"17,675",35,Apple,-50,6,"2,133",5
518800,0,46,prime,Retail,232,"$44,800 ",South,FL,"15,328",47.47,52.53,"7,358",59,Apple,982,20,"1,625",67
3623020,0,23,prime,Branded 3rd Party Retail,222,"$19,000 ",Midwest,MO,"34,586",47.79,52.21,"14,320",38,Nokia,"1,158",23,453,23
