StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1,Q3,Q2,Q28,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q4,Q5,Q1,Q2_NPS_GROUP,Q2,Q8_NPS_GROUP,Q8,Q29_NPS_GROUP,Q29,Q9_NPS_GROUP,Q9,Q31_NPS_GROUP,Q31,Q32_NPS_GROUP,Q32,Q10_NPS_GROUP,Q10,Q33_NPS_GROUP,Q33,Q34_NPS_GROUP,Q34,Q36_NPS_GROUP,Q36,Q37_NPS_GROUP,Q37,Q38_NPS_GROUP,Q38,Q39_NPS_GROUP,Q39,Q40_NPS_GROUP,Q40,Q41_NPS_GROUP,Q41,Q43_NPS_GROUP,Q43,Q44_NPS_GROUP,Q44,Q45_NPS_GROUP,Q45,Q14_1,Q14_2,Q14_3,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you agree to continue?,Have you ever visited a supermarket in Australia?,What is the reason for you last time go to supermarket?,How often do you visit a supermarket?,What time do you usually go to supermarket?,Which channel do you checkout your selected product (s) the most?,How much do you usually spend when you go to supermarket? (Coles/ Woolworth/ Aldi),Please rank the following selections by your most purchase category in order. - Drink,Please rank the following selections by your most purchase category in order. - Vegetable/Fruit,Please rank the following selections by your most purchase category in order. - Meat,"Please rank the following selections by your most purchase category in order. - Daily Products (Sunscreen, toothpaste, shampoo, charger, cookware ect.)",How do you usually travel to Supermarket? (Please select multiple answers as you wish.),How far is between your home and the closest supermarket?,Please select the following supermarket(s) that you visit in last 12 months in Australia. (Multiple Choice),"""The Meat is fresh at Woolworth."" - Group","""The Meat is fresh at Woolworth.""","""The Meat is fresh at Coles."" - Group","""The Meat is fresh at Coles.""","""The Meat is fresh at Aldi."" - Group","""The Meat is fresh at Aldi.""","""The Fruit is fresh at Coles"" - Group","""The Fruit is fresh at Coles""","""The Fruit is fresh at Woolworth"" - Group","""The Fruit is fresh at Woolworth""","""The Fruit is fresh at Aldi"" - Group","""The Fruit is fresh at Aldi""","""When I have question at Coles, the staff can always provide great solution for me."" - Group","""When I have question at Coles, the staff can always provide great solution for me.""","""When I have question at Woolworth, the staff can always provide great solution for me."" - Group","""When I have question at Woolworth, the staff can always provide great solution for me.""","""When I have question at Aldi, the staff can always provide great solution for me."" - Group","""When I have question at Aldi, the staff can always provide great solution for me.""","""I can always find the product I want at Coles"" - Group","""I can always find the product I want at Coles""","""I can always find the product I want at Woolworth."" - Group","""I can always find the product I want at Woolworth.""","""I can always find the product I want at Aldi."" - Group","""I can always find the product I want at Aldi.""","""The Coles is providing a comfortable and safe shopping environment."" - Group","""The Coles is providing a comfortable and safe shopping environment.""","""The Woolworth is providing a comfortable and safe shopping environment."" - Group","""The Woolworth is providing a comfortable and safe shopping environment.""","""The Aldi is providing a comfortable and safe shopping environment."" - Group","""The Aldi is providing a comfortable and safe shopping environment.""","""I will recommend my friend and family shopping at Aldi."" - Group","""I will recommend my friend and family shopping at Aldi.""","""I will recommend my friend and family shopping at Coles."" - Group","""I will recommend my friend and family shopping at Coles.""","""I will recommend my friend and family shopping at Woolworth."" - Group","""I will recommend my friend and family shopping at Woolworth.""","How's your parking experience if you drive to the following supermarket.

(Considering: carpark cleanness, car space availability, EV charging availability, easy to exist and entry and the distance to the supermarket.) - Coles","How's your parking experience if you drive to the following supermarket.

(Considering: carpark cleanness, car space availability, EV charging availability, easy to exist and entry and the distance to the supermarket.) - Woolworth","How's your parking experience if you drive to the following supermarket.

(Considering: carpark cleanness, car space availability, EV charging availability, easy to exist and entry and the distance to the supermarket.) - Aldi",Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7""}","{""ImportId"":""QID28""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID27""}","{""ImportId"":""QID13_NPS_GROUP""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_NPS_GROUP""}","{""ImportId"":""QID14""}","{""ImportId"":""QID29_NPS_GROUP""}","{""ImportId"":""QID29""}","{""ImportId"":""QID15_NPS_GROUP""}","{""ImportId"":""QID15""}","{""ImportId"":""QID31_NPS_GROUP""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_NPS_GROUP""}","{""ImportId"":""QID32""}","{""ImportId"":""QID16_NPS_GROUP""}","{""ImportId"":""QID16""}","{""ImportId"":""QID33_NPS_GROUP""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_NPS_GROUP""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36_NPS_GROUP""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_NPS_GROUP""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_NPS_GROUP""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_NPS_GROUP""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_NPS_GROUP""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_NPS_GROUP""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43_NPS_GROUP""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_NPS_GROUP""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_NPS_GROUP""}","{""ImportId"":""QID45""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""Q_DataPolicyViolations""}"
2023-04-02 08:19:49,2023-04-02 08:23:35,0,124.168.224.211,100,225,1,2023-04-02 08:23:35,R_3EcI8m80ntrSdkk,,,,,-33.8715,151.2006,anonymous,EN,2,2,3,3,4,2,1,8,1,2,5,1,1,"1,2,3",3,9,2,8,2,7,2,7,3,9,2,8,2,8,2,8,2,8,3,9,3,9,3,9,2,8,2,8,2,8,3,9,3,9,3,9,,,,
2023-04-02 08:20:38,2023-04-02 08:27:41,0,103.120.10.196,100,422,1,2023-04-02 08:27:41,R_247qIYUq5h45g7K,,,,,-33.8715,151.2006,anonymous,EN,2,2,2,2,3,2,3,3,7,4,1,1,1,"1,2,3",2,7,,,1,5,2,8,2,8,2,7,2,7,2,8,2,8,2,7,2,7,2,7,2,7,1,6,2,8,2,7,1,6,2,7,,,,
2023-04-02 08:07:00,2023-04-02 08:27:53,0,103.120.10.196,100,1252,1,2023-04-02 08:27:53,R_2sYAXGv77EeJIEM,,,,,-33.8715,151.2006,anonymous,EN,2,2,2,2,2,2,2,1,2,3,4,1,4,"2,3",2,8,,,2,8,,,2,8,2,8,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,
2023-04-02 08:29:09,2023-04-02 08:30:56,0,103.120.10.196,100,107,1,2023-04-02 08:30:56,R_RsNHHuXCifLG8BH,,,,,-33.8715,151.2006,anonymous,EN,2,2,1,2,3,2,3,1,2,3,6,1,1,"1,2,3",2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-02 08:25:07,2023-04-02 08:33:20,0,104.28.125.2,100,493,1,2023-04-02 08:33:22,R_1QrWcPc0HRXglwu,,,,,-33.8715,151.2006,anonymous,EN,2,2,2,2,3,2,3,2,3,4,1,3,4,1,,,1,6,,,3,9,,,,,2,8,,,,,2,8,,,,,2,8,,,,,,,2,8,,,,,,
2023-04-02 20:27:35,2023-04-02 20:29:13,1,,100,97,1,2023-04-02 20:29:14,R_AoLhe55SNzxVYL7,,,,,-33.8715,151.2006,preview,EN,3,2,2,3,3,3,6,1,2,4,5,3,2,3,,,,,3,10,,,,,3,10,,,,,2,8,,,,,2,8,,,,,2,8,2,8,,,,,,,,
2023-04-06 04:24:48,2023-04-06 04:38:22,1,,100,813,1,2023-04-06 04:38:27,R_3fQ20EDphSHn29G,,,,,-33.8715,151.2006,preview,EN,3,2,1,4,,3,3,1,3,4,2,"7,8",1,"1,2,3",3,9,2,7,3,9,,,3,9,3,9,,,,,,,1,3,3,10,1,2,,,,,,,,,,,,,,,,
2023-04-09 04:08:15,2023-04-09 04:10:10,1,,100,115,1,2023-04-09 04:10:12,R_2Cyyy2cMBt7B0ng,,,,,-33.8715,151.2006,preview,EN,3,2,4,3,2,3,2,1,3,2,4,4,4,"1,2",3,9,3,9,,,2,8,2,7,,,3,9,2,7,,,2,7,3,9,,,3,9,1,6,,,,,3,9,1,5,4,4,2,
2023-04-05 23:44:51,2023-04-09 04:52:39,0,120.18.105.202,100,277668,1,2023-04-09 04:52:40,R_ONiYPQR9U3r5YNb,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,2,3,2,2,1,2,3,7,4,4,3,,,,,1,5,,,,,2,7,,,,,1,6,,,,,1,6,,,,,1,5,1,4,,,,,,,,
2023-04-09 04:50:36,2023-04-09 04:52:48,0,202.43.234.79,100,131,1,2023-04-09 04:52:48,R_UyGUc8sJDyF6Ha9,,,,,22.2578,114.1657,anonymous,EN,3,2,3,1,4,2,4,1,2,3,4,2,2,2,3,10,,,,,,,3,10,,,,,3,10,,,,,3,10,,,,,3,10,,,,,,,3,10,,,,
